fold,method,K,history_alpha,history_mse,history_phase,grid_optimized_alpha,alpha_diff,alpha_diff_abs
2,ari,30,0.35,0.9705592864767008,fine,0.5,-0.15000000000000002,0.15000000000000002
2,ari,40,0.45,0.9722735611673234,fine,0.6000000000000001,-0.15000000000000008,0.15000000000000008
2,ari,50,0.5,0.974409353888376,coarse,0.65,-0.15000000000000002,0.15000000000000002
2,ari,60,0.55,0.9759347018762284,fine,0.65,-0.09999999999999998,0.09999999999999998
2,ari,70,0.6000000000000001,0.9772345790945084,fine,0.7000000000000001,-0.09999999999999998,0.09999999999999998
2,ari,80,0.6000000000000001,0.9783149780274616,fine,0.7000000000000001,-0.09999999999999998,0.09999999999999998
2,ari,90,0.65,0.9795234888743534,fine,0.75,-0.09999999999999998,0.09999999999999998
2,ari,100,0.65,0.980165046136146,fine,0.75,-0.09999999999999998,0.09999999999999998
2,chebyshev,10,6.5,0.6420569952331275,coarse,4.5,2.0,2.0
2,chebyshev,20,8.5,0.6427185964303953,coarse,6.0,2.5,2.5
2,chebyshev,30,9.5,0.6470306931149483,coarse,7.0,2.5,2.5
2,chebyshev,40,10.0,0.6498299236558845,coarse,7.5,2.5,2.5
2,chebyshev,50,10.0,0.6524314963955022,coarse,7.5,2.5,2.5
2,chebyshev,60,10.0,0.6544665976015416,coarse,8.0,2.0,2.0
2,chebyshev,70,10.0,0.6560567387892079,coarse,8.0,2.0,2.0
2,chebyshev,80,10.0,0.6573591054299565,coarse,8.0,2.0,2.0
2,chebyshev,90,10.0,0.6584856521393596,coarse,8.5,1.5,1.5
2,chebyshev,100,10.0,0.6593290205396356,coarse,8.5,1.5,1.5
2,cosine,10,1.5000000000000009,1.0402326360359366,fine,1.0000000000000004,0.5000000000000004,0.5000000000000004
2,cosine,20,2.0,1.0148562332802924,coarse,1.0,1.0,1.0
2,cosine,30,2.5,1.0103364731138476,coarse,1.0,1.5,1.5
2,cosine,40,3.0,1.011536841303512,coarse,1.0000000000000004,1.9999999999999996,1.9999999999999996
2,cosine,50,3.0,1.0124322021883925,coarse,1.0,2.0,2.0
2,cosine,60,3.5,1.0135321989301862,coarse,1.0,2.5,2.5
2,cosine,70,3.5,1.014421643698853,coarse,1.0,2.5,2.5
2,cosine,80,3.5,1.0148105985146176,coarse,1.0,2.5,2.5
2,cosine,90,3.5,1.0152446519800928,coarse,1.0,2.5,2.5
