fold,method,alpha,type,K,TopN,RMSE,MAD,Precision,Recall,lambda
3,ari,0.5,optimized,20,5,1.0353010052202571,0.8240194206929191,0.6534287734181691,0.7109865051468813,0.015
3,ari,0.5,optimized,20,10,1.0353010052202571,0.8240194206929191,0.6165589388813144,0.8737490348005081,0.015
3,ari,0.5,optimized,20,15,1.0353010052202571,0.8240194206929191,0.5976050931512225,0.9431814993596465,0.015
3,ari,0.5,optimized,20,20,1.0353010052202571,0.8240194206929191,0.5850838121973979,0.9714173463599676,0.015
3,ari,0.5,optimized,20,25,1.0353010052202571,0.8240194206929191,0.5793599679042328,0.9876511097870685,0.015
3,ari,0.5,optimized,20,30,1.0353010052202571,0.8240194206929191,0.5756057575737985,0.9939407535862117,0.015
3,ari,0.5,optimized,20,35,1.0353010052202571,0.8240194206929191,0.5735990569513112,0.9968767465260444,0.015
3,ari,0.5,optimized,20,40,1.0353010052202571,0.8240194206929191,0.5727723069882661,0.9984111334222568,0.015
3,ari,0.5,optimized,20,45,1.0353010052202571,0.8240194206929191,0.5723469025926424,0.99893543222937,0.015
3,ari,0.5,optimized,20,50,1.0353010052202571,0.8240194206929191,0.5721229959981989,0.9992299135791906,0.015
3,ari,0.6000000000000001,optimized,30,5,1.0301320749125515,0.8200639693060848,0.6572463768115943,0.7153686854989839,0.015
3,ari,0.6000000000000001,optimized,30,10,1.0301320749125515,0.8200639693060848,0.6170891615748455,0.874326838075511,0.015
3,ari,0.6000000000000001,optimized,30,15,1.0301320749125515,0.8200639693060848,0.5978878785877726,0.943488866812306,0.015
3,ari,0.6000000000000001,optimized,30,20,1.0301320749125515,0.8200639693060848,0.5855079903522231,0.9719479685150785,0.015
3,ari,0.6000000000000001,optimized,30,25,1.0301320749125515,0.8200639693060848,0.5796568926126106,0.9878582214517385,0.015
3,ari,0.6000000000000001,optimized,30,30,1.0301320749125515,0.8200639693060848,0.5755704093942298,0.9940187421204977,0.015
3,ari,0.6000000000000001,optimized,30,35,1.0301320749125515,0.8200639693060848,0.5735990569513111,0.9968555027627116,0.015
3,ari,0.6000000000000001,optimized,30,40,1.0301320749125515,0.8200639693060848,0.5727457958535895,0.9983740551871808,0.015
3,ari,0.6000000000000001,optimized,30,45,1.0301320749125515,0.8200639693060848,0.57241759895178,0.9990438741829176,0.015
3,ari,0.6000000000000001,optimized,30,50,1.0301320749125515,0.8200639693060848,0.5721229959981989,0.9992299135791906,0.015
3,ari,0.7000000000000001,optimized,40,5,1.0290965894846311,0.8190400108350941,0.6585189112760693,0.7152722003372215,0.015
3,ari,0.7000000000000001,optimized,40,10,1.0290965894846311,0.8190400108350941,0.619316096887677,0.8765874836308218,0.015
3,ari,0.7000000000000001,optimized,40,15,1.0290965894846311,0.8190400108350941,0.5974637004329475,0.9431750611918213,0.015
3,ari,0.7000000000000001,optimized,40,20,1.0290965894846311,0.8190400108350941,0.5856140348909292,0.9720557336760188,0.015
3,ari,0.7000000000000001,optimized,40,25,1.0290965894846311,0.8190400108350941,0.5799113995055054,0.9884542969971328,0.015
3,ari,0.7000000000000001,optimized,40,30,1.0290965894846311,0.8190400108350941,0.5756411057533672,0.9942130927046745,0.015
